store_id,store_name,city,region,format,open_date
34,"Балашиха, магазин №4",Балашиха,Московская область,супермаркет,2012-04-16
35,"Санкт-Петербург, магазин №1",Санкт-Петербург,Санкт-Петербург,гипермаркет,2024-08-05
36,"Санкт-Петербург, магазин №2",Санкт-Петербург,Санкт-Петербург,у дома,2016-02-29
37,"Санкт-Петербург, магазин №3",Санкт-Петербург,Санкт-Петербург,у дома,2020-11-05
38,"Санкт-Петербург, магазин №4",Санкт-Петербург,Санкт-Петербург,у дома,2016-08-24
39,"Санкт-Петербург, магазин №5",Санкт-Петербург,Санкт-Петербург,у дома,2016-06-25
40,"Санкт-Петербург, магазин №6",Санкт-Петербург,Санкт-Петербург,супермаркет,2012-04-09
41,"Санкт-Петербург, магазин №7",Санкт-Петербург,Санкт-Петербург,у дома,2015-01-04
42,"Санкт-Петербург, магазин №8",Санкт-Петербург,Санкт-Петербург,супермаркет,2021-10-31
43,"Санкт-Петербург, магазин №9",Санкт-Петербург,Санкт-Петербург,у дома,2018-12-11
44,"Санкт-Петербург, магазин №10",Санкт-Петербург,Санкт-Петербург,у дома,2019-12-14
45,"Санкт-Петербург, магазин №11",Санкт-Петербург,Санкт-Петербург,у дома,2012-08-25
46,"Санкт-Петербург, магазин №12",Санкт-Петербург,Санкт-Петербург,супермаркет,2013-02-11
47,"Санкт-Петербург, магазин №13",Санкт-Петербург,Санкт-Петербург,гипермаркет,2013-11-27
48,"Санкт-Петербург, магазин №14",Санкт-Петербург,Санкт-Петербург,у дома,2024-02-11
49,"Санкт-Петербург, магазин №15",Санкт-Петербург,Санкт-Петербург,у дома,2024-03-15
50,"Краснодар, магазин №1",Краснодар,Краснодарский край,супермаркет,2013-07-07
51,"Краснодар, магазин №2",Краснодар,Краснодарский край,супермаркет,2014-06-05
52,"Краснодар, магазин №3",Краснодар,Краснодарский край,супермаркет,2016-10-13
53,"Краснодар, магазин №4",Краснодар,Краснодарский край,у дома,2022-05-08
54,"Краснодар, магазин №5",Краснодар,Краснодарский край,у дома,2013-11-16
55,"Краснодар, магазин №6",Краснодар,Краснодарский край,у дома,2020-04-30
56,"Сочи, магазин №1",Сочи,Краснодарский край,гипермаркет,2020-12-04
57,"Сочи, магазин №2",Сочи,Краснодарский край,у дома,2017-03-08
58,"Сочи, магазин №3",Сочи,Краснодарский край,супермаркет,2020-05-09
59,"Новороссийск, магазин №1",Новороссийск,Краснодарский край,у дома,2013-06-25
60,"Новороссийск, магазин №2",Новороссийск,Краснодарский край,супермаркет,2023-06-03
61,"Ростов-на-Дону, магазин №1",Ростов-на-Дону,Ростовская область,супермаркет,2022-05-30
62,"Ростов-на-Дону, магазин №2",Ростов-на-Дону,Ростовская область,гипермаркет,2017-11-16
63,"Ростов-на-Дону, магазин №3",Ростов-на-Дону,Ростовская область,у дома,2022-01-11
64,"Ростов-на-Дону, магазин №4",Ростов-на-Дону,Ростовская область,супермаркет,2013-08-22
65,"Ростов-на-Дону, магазин №5",Ростов-на-Дону,Ростовская область,супермаркет,2019-04-03
66,"Ростов-на-Дону, магазин №6",Ростов-на-Дону,Ростовская область,супермаркет,2015-08-21
67,"Таганрог, магазин №1",Таганрог,Ростовская область,у дома,2016-03-05
68,"Таганрог, магазин №2",Таганрог,Ростовская область,супермаркет,2016-01-17
69,"Казань, магазин №1",Казань,Республика Татарстан,у дома,2012-04-30
70,"Казань, магазин №2",Казань,Республика Татарстан,супермаркет,2024-08-11
71,"Казань, магазин №3",Казань,Республика Татарстан,супермаркет,2014-08-24
72,"Казань, магазин №4",Казань,Республика Татарстан,гипермаркет,2012-08-13
73,"Казань, магазин №5",Казань,Республика Татарстан,супермаркет,2024-07-27
74,"Казань, магазин №6",Казань,Республика Татарстан,у дома,2024-01-31
75,"Набережные Челны, магазин №1",Набережные Челны,Республика Татарстан,супермаркет,2014-03-01
76,"Набережные Челны, магазин №2",Набережные Челны,Республика Татарстан,супермаркет,2024-07-29
77,"Набережные Челны, магазин №3",Набережные Челны,Республика Татарстан,супермаркет,2020-03-30
78,"Набережные Челны, магазин №4",Набережные Челны,Республика Татарстан,супермаркет,2017-07-16
79,"Нижний Новгород, магазин №1",Нижний Новгород,Нижегородская область,у дома,2017-08-12
80,"Нижний Новгород, магазин №2",Нижний Новгород,Нижегородская область,у дома,2016-09-09
81,"Нижний Новгород, магазин №3",Нижний Новгород,Нижегородская область,супермаркет,2024-02-04
82,"Нижний Новгород, магазин №4",Нижний Новгород,Нижегородская область,у дома,2023-09-18
83,"Нижний Новгород, магазин №5",Нижний Новгород,Нижегородская область,супермаркет,2012-05-23
84,"Нижний Новгород, магазин №6",Нижний Новгород,Нижегородская область,у дома,2013-09-19
85,"Дзержинск, магазин №1",Дзержинск,Нижегородская область,супермаркет,2018-06-15
86,"Дзержинск, магазин №2",Дзержинск,Нижегородская область,у дома,2015-09-14
87,"Самара, магазин №1",Самара,Самарская область,гипермаркет,2016-08-30
88,"Самара, магазин №2",Самара,Самарская область,супермаркет,2016-01-30
89,"Самара, магазин №3",Самара,Самарская область,супермаркет,2021-07-20
90,"Самара, магазин №4",Самара,Самарская область,супермаркет,2018-03-12
91,"Самара, магазин №5",Самара,Самарская область,гипермаркет,2013-01-22
92,"Самара, магазин №6",Самара,Самарская область,супермаркет,2012-06-23
93,"Тольятти, магазин №1",Тольятти,Самарская область,у дома,2021-01-21
94,"Тольятти, магазин №2",Тольятти,Самарская область,супермаркет,2019-06-23
95,"Тольятти, магазин №3",Тольятти,Самарская область,супермаркет,2022-09-25
96,"Тольятти, магазин №4",Тольятти,Самарская область,гипермаркет,2021-03-15
97,"Пермь, магазин №1",Пермь,Пермский край,супермаркет,2016-04-28
98,"Пермь, магазин №2",Пермь,Пермский край,супермаркет,2020-07-09
99,"Пермь, магазин №3",Пермь,Пермский край,у дома,2021-04-08
100,"Пермь, магазин №4",Пермь,Пермский край,у дома,2023-08-27
101,"Пермь, магазин №5",Пермь,Пермский край,супермаркет,2013-11-22
102,"Березники, магазин №1",Березники,Пермский край,супермаркет,2013-03-10
103,"Березники, магазин №2",Березники,Пермский край,у дома,2017-09-15
104,"Соликамск, магазин №1",Соликамск,Пермский край,у дома,2023-11-15
105,"Екатеринбург, магазин №1",Екатеринбург,Свердловская область,супермаркет,2012-07-26
106,"Екатеринбург, магазин №2",Екатеринбург,Свердловская область,супермаркет,2022-12-01
107,"Екатеринбург, магазин №3",Екатеринбург,Свердловская область,у дома,2015-11-16
108,"Екатеринбург, магазин №4",Екатеринбург,Свердловская область,гипермаркет,2019-02-14
109,"Екатеринбург, магазин №5",Екатеринбург,Свердловская область,гипермаркет,2024-06-16
110,"Екатеринбург, магазин №6",Екатеринбург,Свердловская область,супермаркет,2024-06-08
111,"Екатеринбург, магазин №7",Екатеринбург,Свердловская область,супермаркет,2019-01-24
112,"Нижний Тагил, магазин №1",Нижний Тагил,Свердловская область,супермаркет,2016-08-17
113,"Нижний Тагил, магазин №2",Нижний Тагил,Свердловская область,у дома,2014-09-03
114,"Нижний Тагил, магазин №3",Нижний Тагил,Свердловская область,гипермаркет,2012-10-24
115,"Уфа, магазин №1",Уфа,Республика Башкортостан,у дома,2017-06-05
116,"Уфа, магазин №2",Уфа,Республика Башкортостан,гипермаркет,2019-02-19
117,"Уфа, магазин №3",Уфа,Республика Башкортостан,гипермаркет,2018-06-26
118,"Уфа, магазин №4",Уфа,Республика Башкортостан,супермаркет,2014-11-29
119,"Уфа, магазин №5",Уфа,Республика Башкортостан,гипермаркет,2013-09-24
120,"Уфа, магазин №6",Уфа,Республика Башкортостан,у дома,2014-10-22
121,"Стерлитамак, магазин №1",Стерлитамак,Республика Башкортостан,у дома,2024-06-03
122,"Стерлитамак, магазин №2",Стерлитамак,Республика Башкортостан,супермаркет,2023-09-02
123,"Стерлитамак, магазин №3",Стерлитамак,Республика Башкортостан,супермаркет,2019-11-04
124,"Новосибирск, магазин №1",Новосибирск,Новосибирская область,у дома,2024-12-27
125,"Новосибирск, магазин №2",Новосибирск,Новосибирская область,супермаркет,2016-08-16
126,"Новосибирск, магазин №3",Новосибирск,Новосибирская область,супермаркет,2015-04-23
127,"Новосибирск, магазин №4",Новосибирск,Новосибирская область,супермаркет,2014-11-16
128,"Новосибирск, магазин №5",Новосибирск,Новосибирская область,гипермаркет,2019-01-16
129,"Новосибирск, магазин №6",Новосибирск,Новосибирская область,у дома,2021-09-20
130,"Новосибирск, магазин №7",Новосибирск,Новосибирская область,супермаркет,2019-06-24
131,"Бердск, магазин №1",Бердск,Новосибирская область,супермаркет,2022-07-13
132,"Красноярск, магазин №1",Красноярск,Красноярский край,у дома,2021-12-08
133,"Красноярск, магазин №2",Красноярск,Красноярский край,гипермаркет,2014-01-31
134,"Красноярск, магазин №3",Красноярск,Красноярский край,у дома,2019-09-24
135,"Красноярск, магазин №4",Красноярск,Красноярский край,у дома,2017-10-15
136,"Красноярск, магазин №5",Красноярск,Красноярский край,у дома,2014-09-04
137,"Красноярск, магазин №6",Красноярск,Красноярский край,супермаркет,2014-09-20
138,"Норильск, магазин №1",Норильск,Красноярский край,гипермаркет,2013-04-03
139,"Норильск, магазин №2",Норильск,Красноярский край,супермаркет,2013-08-29
140,"Владивосток, магазин №1",Владивосток,Приморский край,супермаркет,2015-09-03
141,"Владивосток, магазин №2",Владивосток,Приморский край,у дома,2018-05-11
142,"Владивосток, магазин №3",Владивосток,Приморский край,у дома,2014-06-05
143,"Владивосток, магазин №4",Владивосток,Приморский край,супермаркет,2016-01-08
144,"Находка, магазин №1",Находка,Приморский край,у дома,2019-10-15
145,"Находка, магазин №2",Находка,Приморский край,у дома,2019-06-20
146,"Хабаровск, магазин №1",Хабаровск,Хабаровский край,у дома,2020-06-01
147,"Хабаровск, магазин №2",Хабаровск,Хабаровский край,гипермаркет,2023-06-06
148,"Хабаровск, магазин №3",Хабаровск,Хабаровский край,супермаркет,2012-02-15
149,"Хабаровск, магазин №4",Хабаровск,Хабаровский край,гипермаркет,2018-03-07
